22.3	90	931.5	1.0	9	10	19.7	1
25.6	75	931.2	1.0	18	5	20.5	0
20.9	94	933.1	0.0	0	10	19.1	1
24.4	80	931.9	0.5	9	8	19.7	1
24.3	80	931.5	0.5	5	8	20.6	1
23.4	89	931.6	1.0	36	10	21.0	0
23.0	83	933.0	0.5	14	10	20.6	1
23.2	95	933.2	1.0	9	10	21.0	1
24.1	79	931.1	0.5	32	9	20.3	0
24.6	77	931.2	1.0	36	0	19.6	0
26.6	62	931.9	1.0	14	0	20.0	0
25.4	62	932.2	0.0	0	0	20.3	0
24.3	70	931.2	0.5	23	0	18.6	0
24.6	72	930.8	1.0	36	8	20.1	0
24.2	76	932.7	0.5	9	10	19.6	1
23.7	79	933.9	1.5	9	10	20.4	0
25.4	68	933.6	1.0	14	4	19.3	1
25.4	65	933.9	1.0	9	0	19.2	0
26.8	62	932.8	1.0	9	0	19.9	0
25.7	75	932.2	0.5	36	0	21.0	1
25.7	69	931.0	1.0	14	3	19.7	0
26.0	67	932.8	2.1	9	4	20.7	0
26.4	66	932.0	1.0	14	4	20.8	0
25.4	73	931.0	2.1	18	8	20.4	1
22.8	88	932.7	0.0	0	10	21.1	1
23.6	84	933.9	0.5	14	10	21.6	0
26.1	70	933.2	1.0	5	6	21.3	0
26.4	66	933.9	1.0	9	4	20.6	0
25.8	67	932.4	0.0	0	9	19.5	0
25.0	76	932.4	1.0	5	4	20.4	0
25.0	68	931.9	1.0	14	10	22.3	0
25.9	71	930.7	2.1	9	4	20.6	1
25.6	70	931.1	1.5	27	5	20.8	1
25.6	68	932.7	1.0	9	6	19.4	0
25.5	64	933.9	0.0	0	8	18.9	0
24.1	72	933.8	0.5	36	3	19.1	0
21.6	71	932.8	2.1	14	10	19.5	0
21.6	74	932.4	1.0	9	10	19.6	0
19.3	87	933.2	1.5	9	10	16.4	1
21.0	76	933.1	1.0	9	0	15.9	1
21.6	75	932.6	0.0	0	3	16.0	0
21.8	59	933.1	0.5	9	0	15.0	0
22.5	71	932.8	0.5	14	4	16.8	0
22.9	77	933.1	0.5	36	0	18.6	0
22.2	72	932.8	0.0	0	4	17.3	0
22.3	71	932.7	0.5	36	6	16.9	0
19.0	80	933.6	0.5	18	10	16.3	0
22.8	72	932.8	0.5	18	0	16.2	0
23.6	70	933.0	0.5	18	0	17.7	0
23.4	72	932.0	0.0	0	0	18.3	0
24.4	60	933.6	0.5	5	8	18.8	0
22.6	71	933.0	0.0	0	0	17.8	0
23.4	63	931.4	1.0	32	8	18.5	0
23.3	71	932.0	0.0	0	3	17.9	0
23.4	70	932.3	0.0	0	5	18.6	0
24.6	66	934.4	0.5	5	4	18.3	0
20.0	77	936.7	1.5	25	9	17.6	0
20.4	60	936.2	1.5	9	3	15.2	0
20.8	60	935.4	1.5	14	0	16.1	0
21.4	55	935.2	1.5	36	3	16.9	0
20.8	64	935.5	1.0	36	6	15.4	0
21.9	58	935.8	1.0	18	0	15.3	0
22.9	51	935.6	1.0	9	3	17.9	0
22.2	56	936.3	1.0	9	3	17.0	0
21.5	63	935.6	1.0	9	8	15.9	0
23.8	64	936.7	2.6	18	0	19.3	0
23.0	61	936.4	1.5	9	4	17.0	0
22.6	60	936.4	1.5	14	0	16.3	0
21.1	71	937.8	0.0	0	8	16.0	0
21.4	57	937.0	0.5	9	1	13.7	0
21.5	57	935.2	0.5	14	0	14.4	0
20.0	71	936.4	0.5	36	6	15.2	0
21.9	70	936.8	0.5	27	4	16.0	0
22.1	53	937.8	2.1	9	0	17.3	0
21.2	56	939.5	2.1	5	0	14.9	0
20.6	59	938.3	1.0	18	0	14.2	0
21.3	62	935.0	0.5	5	0	15.0	0
21.3	60	931.1	0.5	36	3	16.8	0
21.0	59	933.4	0.5	36	0	15.5	0
22.2	57	935.2	1.5	18	3	16.1	0
24.1	51	934.8	1.0	32	0	16.2	0
22.5	56	934.7	1.5	23	0	15.4	0
23.2	61	934.8	0.5	32	0	16.7	0
20.8	68	935.0	0.5	36	0	15.1	0
20.0	63	930.8	0.5	32	0	14.6	0
19.4	62	931.4	0.5	36	0	13.9	0
18.0	67	931.2	0.5	27	9	14.0	0
20.8	61	934.0	0.0	0	0	15.4	0
16.8	67	937.1	2.6	18	3	14.4	1
13.0	51	937.1	2.6	18	0	9.0	0
